function                                                                                                                                                              #calls  time     memory  time     memory
HashBagOStuff->set                                                                                                                                                       227  0.0232   136368  0.0091   125472
Message->plain                                                                                                                                                          1528  1.2590  3233128  0.0553   122240
CustomData->onParserClearState                                                                                                                                           316  0.0096   116288  0.0096   116288
Wikibase\DataModel\Entity\EntityIdValue->__construct                                                                                                                    2417  0.0724   116016  0.0724   116016
ComposerAutoloaderInitd912f0548c242e3ba7ad192b185e9247::loadClassLoader                                                                                                    1  0.0004   115656  0.0004   115608
Language::fetchLanguageNamesUncached                                                                                                                                       3  0.2219   402192  0.0114   115416
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->injectDescription                                                                                                           158  0.0047   113760  0.0047   113760
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/resources/jquery.wikibase/resources.php:8-478}                           1  0.0008   165608  0.0004   112536
SyntaxHighlight_GeSHi::resourceLoaderRegisterModules                                                                                                                       1  0.0581  1703760  0.0006   111904
array_unique                                                                                                                                                             210  0.0053   107040  0.0053   107040
LocalisationCache->initLanguage                                                                                                                                            6  0.1477   650608  0.0013   106952
Title::newFromText                                                                                                                                                        57  0.0830   156184  0.0054   106936
Wikibase\LanguageFallbackChain->getValueArray                                                                                                                            207  0.0125   104328  0.0077   104328
ResourceLoader->getModule                                                                                                                                                 80  0.0691   721408  0.0044    97640
strval                                                                                                                                                                  1990  0.0754    99600  0.0454    97456
array_flip                                                                                                                                                                79  0.0019    96064  0.0019    96064
Wikibase\DataModel\Snak\SnakList->getSnaksByProperty                                                                                                                      86  0.0173    91864  0.0066    91864
Wikibase\ReferencedEntitiesFinder->findSnakLinks                                                                                                                           3  0.1788    91368  0.0444    91368
parse_url                                                                                                                                                                166  0.0041    91304  0.0041    91304
Message->text                                                                                                                                                           1068  8.7183  6944392  0.0400    85440
Wikibase\DataModel\Snak\PropertyValueSnak->getType                                                                                                                      1038  0.0291    83040  0.0291    83040
Wikibase\Client\Hooks\SidebarHookHandlers::newFromGlobalState                                                                                                             28  0.0687   607336  0.0054    82112
Wikibase\LanguageFallbackChainFactory->buildFromLanguage                                                                                                                 433  0.3061  1150840  0.0290    81200
ucfirst                                                                                                                                                                 1567  0.0362    81048  0.0362    81048
Title::getTitleInvalidRegex                                                                                                                                              432  0.0120    79624  0.0120    79512
