function                                                                                                                                                         #calls  time     memory  time     memory
PPDPart->__construct                                                                                                                                                865  0.0239    65144  0.0239    65144
DatabaseBase->limitResult                                                                                                                                           291  0.0272    64136  0.0136    64136
Language->getNsText                                                                                                                                                 788  0.0751    63040  0.0292    63040
Wikibase\DataModel\{closure}                                                                                                                                        147  0.0580    92296  0.0050    61720
MediaWikiTitleCodec->splitTitleString                                                                                                                                45  0.0755   258608  0.0095    60864
Wikibase\Repo\WikibaseRepo->getEntityContentFactory                                                                                                                 168  0.0570   260944  0.0079    60352
Wikibase\ItemHandler->getEntityType                                                                                                                                 753  0.0215    60240  0.0215    60240
Language::getFallbacksFor                                                                                                                                           298  0.1416   368792  0.0088    58848
MessageCache->load                                                                                                                                                 1214  0.0740    60040  0.0440    58424
Wikibase\DataModel\Entity\Entity->getStubbedClaims                                                                                                                    5  0.3819  1563592  0.0061    58304
glob                                                                                                                                                                  1  0.0046    58184  0.0046    58184
Wikibase\Repo\WikibaseRepo::getDefaultInstance                                                                                                                     1156  0.0368   123880  0.0345    57480
User->isItemLoaded                                                                                                                                                 1182  0.0346    56736  0.0346    56736
ProfileSection->__destruct                                                                                                                                         1179  0.0324    56592  0.0324    56592
ProfileSection->__construct                                                                                                                                        1179  0.0531    56592  0.0531    56592
wfWikimediaMessagesMessageCacheGet                                                                                                                                 1175  0.0677    56400  0.0401    56400
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/MWTimestamp.php:147}                                                                          51  0.0016    55488  0.0016    55488
Wikibase\DataModel\HashableObjectStorage->__construct                                                                                                              1154  0.0349    57784  0.0345    55392
DataValues\UnDeserializableValue::getType                                                                                                                           692  0.0189    55360  0.0189    55360
preg_match_all                                                                                                                                                       85  0.0022    55008  0.0022    55008
PPNode_DOM->getLength                                                                                                                                              1145  0.0326    54960  0.0326    54960
Wikibase\Lib\Store\RedirectResolvingEntityLookup->getEntity                                                                                                         302  2.0450  3130176  0.0117    53152
ProfilerStub->isStub                                                                                                                                               1099  0.0304    52784  0.0304    52784
DatabaseBase->isWriteQuery                                                                                                                                         1097  0.0682    52656  0.0399    52656
MagicWord->__construct                                                                                                                                              146  0.0043    52624  0.0043    52624
Profiler::instance                                                                                                                                                 1101  0.0325    75064  0.0322    52600
Parser->setFunctionHook                                                                                                                                              88  0.0559   630168  0.0075    52304
Title->__construct                                                                                                                                                 1081  0.0298    51888  0.0298    51888
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->initEntityInfo                                                                                                         321  0.0093    50712  0.0093    50712
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/ValueView/src/resources.php:9-89}                                                     1  0.0007    93312  0.0003    50488
MWNamespace::getCanonicalNamespaces                                                                                                                                  19  0.0029   192152  0.0006    50224
Wikibase\DataModel\Snak\SnakObject->__construct                                                                                                                    1041  0.1044    49968  0.0506    49968
DataValues\Deserializers\DataValueDeserializer->hasSupportedType                                                                                                   1038  0.1015    49824  0.0467    49824
DataValues\Deserializers\DataValueDeserializer->assertHasValue                                                                                                     1038  0.0633    49824  0.0383    49824
Title::makeTitleSafe                                                                                                                                                 13  0.0242    57616  0.0009    49096
wfDebugTimer                                                                                                                                                        596  0.0145    47704  0.0145    47704
Wikibase\DataModel\Entity\PropertyId->getNumericId                                                                                                                 2980  0.1764   143040  0.1075    47680
SiteList->hasSite                                                                                                                                                   991  0.0566    47568  0.0338    47568
wfWikiID                                                                                                                                                            590  0.0150    47360  0.0150    47360
Wikibase\DataModel\Entity\PropertyId->__construct                                                                                                                  1472  0.5903   306176  0.0772    47104
{closure:/Library/WebServer/Documents/php-master/extensions/Wikidata/extensions/Wikibase/repo/Wikibase.php:65-232}                                                    1  0.0012   132464  0.0006    46720
PPDStackElement->getAccum                                                                                                                                           865  0.0505    45600  0.0308    45600
